state continent pop gdp_pc v2x_polyarchy slavery_legal military_type government tax_income state_expenditure military_expenditure army_size v2x_corruption v2x_centralization v2x_inequality v2x_participation ethnic_groups ethn_diversity ethn_exclusion relig_diversity relig_exclusion civil_wars_100y coups_100y regime_trans_100y military_alliances trade_agreements pitf_stability pitf_pt civil_wars_10y humanitarian_aid_received humanitarian_aid_given gdp_tot non_coup_transitions peaceful_transition wdi_seced wdi_imr v2x_mediaindep v2x_judindep v2x_defamation any_civilwar paid_soldiers military_quality v2x_execonst
"The North" Westeros 454180 9193.580922334062 0.53 0 levies monarchy 756.1446423784379 653.9515335612759 67.74243138109271 38974 0.23091331769678797 0.659984046034179 0.24224728474573504 0.34269158725910887 5 0.6182538843378929 84.71431440955898 0.6473054976005139 67.31309067216364 3.754308360776589 4 7 0 2 57 5 2 501.8368695941358 558.8330799484331 4175.540583305684 3 0 0.3896902380160007 139.39762734087338 0.6519737919314049 0.49227427974050025 1 1 0 -0.858507994760565 0.2880898101995417
"The Vale" Westeros 666415 13962.752889720969 0.3 0 levies monarchy 3561.484211770958 783.3426442895848 493.5449770222402 45543 0.8998820791601315 0.8172222002012158 0.917846534245344 0.3571493423469587 4 0.3365542148887265 35.49051904627206 0.4802499885503002 28.037203163724964 3.877537031573552 8 15 3 2 38 4 0 536.4159246094299 622.0001905829257 9304.9879670034 7 1 0.1631031429174225 70.17176235403375 0.3883389789831232 0.4978767179482187 0 0 0 -0.19716379218596425 0.01514000029453778
"The Iron Islands" Westeros 136309 12893.290780758727 0.03000000000000002 0 reavers monarchy 538.1340691801621 508.755611350975 284.627027204726 12560 0.9997561344668724 0.5552008115994623 0.9975208984767931 0.09850795085857134 2 0.6557226353807422 95.68008851264564 0.5664680961492632 72.21698200715966 3.7685090081123302 7 13 1 5 34 6 4 663.4789217540206 371.9663357420447 1757.4715730344417 6 1 0.0306091639165801 198.54692311571483 0.22297922918602023 0.4384742512303055 1 1 0 0.02106672938102227 0.00116800596277798
"The Riverlands" Westeros 833267 16726.013518729193 0.19 0 levies monarchy 3617.137170343994 2843.9398311544205 1632.008122668193 71134 0.4953229630192272 0.5296505783560065 0.5390856189946893 0.38651184538320105 20 0.38539662096556504 67.67699044243032 0.4402176202499426 51.29337955590092 0.9869336950598888 4 4 5 2 90 5 5 0 649.545292690195 13937.235106710918 0 1 0.1917009834594709 158.60498035166574 0.4715814628916071 0.6058382666203712 1 1 0 -0.5824663976390698 0.03935476793566157
"The Westerlands" Westeros 999569 11523.913829170217 0.17 0 professional monarchy 1204.9570099277244 1067.9605377711175 642.192145015977 23647 0.8832026303078887 0.2418522909004517 0.9193587865026 0.3986497876052486 10 0.6816136689727897 48.252094964264245 0.5156993654370221 40.669328982950354 1.0439932512617545 1 4 1 3 61 6 3 517.9777068441163 526.1313301294196 11518.947022309843 3 1 0.06837267152816727 115.25487717351275 0.33122723046294783 0.5413729906986384 1 1 1 0.9548014781855014 0.00938286974183506
"The Reach" Westeros 1333833 12861.677820466624 0.33 0 levies monarchy 1794.414648762399 3830.989725210465 567.4807675211034 125722 0.99999841880143 0.0931027678058992 0.9999655205013556 0.4973338265326153 19 0.34062456946424 49.3025657771805 0.3008115721720869 27.811545461025112 3.9093662873954385 11 19 0 4 25 3 5 282.17516178642524 856.473607798189 17155.330312306454 8 1 0.06196983290896978 103.55040845499936 0.4100889777114275 0.5703918820193057 1 1 0 -0.17955782689760147 0.09178113623971484
"The Stormlands" Westeros 600425 15660.289633333328 0.25 0 levies monarchy 661.2940738712804 583.3137592695933 194.2450705231669 35386 0.6054458997894537 0.8972157579533268 0.668363619254169 0.3369301124052485 1 0.2606945282359031 8.328441119525962 0.4083762068483141 4.19256679999485 2.8937910345798565 2 6 5 1 50 4 2 0 198.4984233731292 9402.829403094163 4 1 0.41601363113245104 67.1409646019392 0.5848017519559114 0.5488304185211106 0 1 0 -0.8569910989791666 0.03999861429680522
Dorne Westeros 732771 13916.89906790512 0.37 0 mercenaries monarchy 3601.5072175083837 3755.500502192764 658.3951525221746 62831 0.9924509660978864 0.9004180571633305 0.9850311855585312 0.591387543714337 5 0.4960374542934062 9.170414725848104 0.4401025559861282 5.250231304204505 6.390020284994913 4 12 1 1 34 3 4 465.753086852253 623.9223624163064 10197.900046887904 8 0 0.23275412402028964 80.39150203913388 0.29229763447868 0.2548975559447381 1 1 1 0.7866900829742549 0.1361162039490823
Pentos Essos 299904 30282.448303465822 0.65 0 mercenaries republic 2364.819338221593 1276.659661239901 843.8940288646565 28374 0.8342494444112986 0.6331014572732679 0.7436062547765838 0.9433651965111084 13 0.6928903586919394 60.2440925901119 0.594815951261047 6.692605940031662 2.1788161944242312 5 5 4 5 94 2 4 0 773.7662752343837 9081.827376002617 0 1 0.283087845970297 23.305775837616352 0.7464760929544907 0.622271269147273 0 1 1 0.6282963790541205 0.6705889368676292
Lys Essos 233312 16398.562488229774 0.32 0 professional oligarchy 1139.47445272589 1078.478351130617 544.7866335675232 8586 0.9087854254687424 0.3390297910487007 0.8421035825061418 0.5257903232596111 4 0.34833660445319736 55.37030523458007 0.4038931062601432 39.45217986081298 5.637113892404953 17 31 2 2 1 3 4 0 520.9053796333367 3825.981411253865 14 1 0.10261423083951347 157.6080882976574 0.34319935643261423 0.5601324658314358 1 1 1 0.8167222862088559 0.2399223547254437
Myr Essos 250299 11307.653697540509 0.3 0 professional oligarchy 161.9057833608309 450.29666161878146 141.88114551468587 4006 0.9704304956561716 0.3492095746126609 0.9579162146362168 0.505828890544118 16 0.9366481518557072 21.272789502422896 0.8954932196077727 10.67560659358844 9.38960378768071 16 22 0 2 23 4 2 590.559989507116 462.1939296316599 2830.2944128406916 6 0 0.12766015802482242 117.30416321069993 0.2742943257601669 0.3004753561624225 1 1 1 0.0934188081665579 0.03924347693843388
Volantis Essos 366948 10962.602940152305 0.37 0 professional oligarchy 1566.7167612619342 933.363382096013 131.89631211881527 10199 0.9357056010162574 0.7259556788702394 0.7054617754520054 0.5233848660688644 16 0.03918632667564625 94.61945428816902 0.09231981624452695 33.56600647969632 4.158128702386196 14 18 1 0 37 4 2 640.1130708890418 495.7188112564401 4022.7052236830073 4 0 0.15681302126932922 95.40838089801892 0.1658228853311964 0.2831918922157995 1 1 1 0.21868721043701012 0.02060854689879273
Braavos Essos 200598 30745.094894066744 0.83 1 professional oligarchy 2105.273911654672 1488.4944389521424 449.7314906112372 9571 0.00615370158246429 0.8971102599525771 0.01171407677824334 1.329344090568215 2 0.4179460317155787 78.12960504712025 0.18491669177583892 16.967990389556554 6.372432005506733 13 20 0 4 49 -0 5 0 778.7604726689776 6167.404545560001 7 1 0.8068843511997557 159.0583825620144 0.963704430923233 0.7982336764325871 0 1 1 0.94811767900318 0.5067926917636809
Norvos Essos 100003 15360.459790655075 0.31 1 professional oligarchy 190.96495073443324 176.18831453696208 54.859607378920984 8680 0.1156645928089168 0.8870864242651173 0.2390453895388889 0.5107101711874789 17 0.9675805515202476 11.346460201744804 0.7964800920465602 64.68483616687239 5.3162745650330745 3 3 0 3 86 3 1 0 131.00102236519575 1536.0920604448795 0 0 0.5895908149547953 18.20064410131107 0.7681875282727707 0.4380184949127801 0 1 1 0.34693522477241956 0.12559930209887216
Lorath Essos 66901 10032.748586405953 0.19 1 professional oligarchy 76.27442506881812 261.3351763049687 150.07016114245894 6093 0.24905979692677743 0.7798755458576239 0.3378338414949907 0.4155733289351865 20 0.5479718832480873 93.09291056872924 0.6467315608099162 38.82683839898722 4.108931237836328 15 24 5 1 9 5 5 409.2288753850096 751.2011003202097 671.2009131791447 9 0 0.32113017789049825 195.49765154244477 0.4362025980288829 0.38959912921574297 0 1 1 0.6526845172350275 0.2114672894703396
Qohor Essos 83035 14069.366016956845 0.27 1 professional oligarchy 133.40428950861636 375.3545603718918 193.08702387921736 473 0.1915721052988828 0.6420316461542878 0.10275012271388484 0.3440571868539384 12 0.42347094230811855 97.42482085344102 0.4870682077068702 22.93947457049497 3.162870028134492 4 6 5 0 81 4 3 0 434.1152185101043 1168.2498072180117 2 0 0.5092294506403049 148.86858735866946 0.5160604138778931 0.43964869536226586 1 1 1 0.6764615263676155 0.20832003633160937
Tyrosh Essos 99989 10877.276670305151 0.34 1 mercenaries oligarchy 170.19410674148716 412.0127041280083 278.8041691965051 5607 0.8292357233905625 0.08413996499504883 0.8604115103232958 0.4991209940029801 18 0.5685202837499583 99.59312420303291 0.6712046121516441 26.593792496423895 5.8768654643705105 15 22 2 0 6 4 0 485.43146112310865 602.4437538589207 1087.6080169871418 7 1 0.05736012250507324 121.59597185764764 0.25883242394031636 0.6150746667959304 1 0 1 0.6331299514936968 0.2985147102906767
"Dothraki Sea" Essos 1999440 4550.818920694146 0.09 1 horde tribal 2126.1364556056133 3304.6943844376956 1344.8113458735038 93456 0.976687142389459 0.10805719242337886 0.9494450213358008 0.2338022043992787 2.999999999999999 0.5759245752580846 5.5871154677350034 0.4852982905257763 36.034509520526825 1.9560747104779157 2 4 4 5 85 5 4 499.7793698225738 575.1462977383599 9099.089382792705 2 0 NA 173.0311594035702 0.2878250068595098 0.28075578939616475 1 1 0 -0.14709766369433896 0.00332708988710825
Astapor Essos 133150 8630.1930524166 0.11 1 slaves oligarchy 231.17886035797025 297.9240487590479 52.9519061487505 3623 0.12137326502954392 0.8985541885270792 0.848278970160476 0.1783730754748899 1 0.7316477552996402 73.70355567910089 0.5613556592856016 25.99498628542627 7.540022953598736 10 17 0 1 6 5 1 677.0348310286809 369.3097394641922 1149.1102049292704 7 0 0.1268539222143426 187.80727758504477 0.45155611491973086 0.3868315519033624 0 1 0 -0.9763275928350524 0.01015708989978344
Yunkai Essos 99805 16160.093582115513 0.09 1 slaves oligarchy 245.04185827514905 601.0412343908836 338.7523162070802 1695 0.6465612218405807 0.6064290596595899 0.6464306130779903 0.19003488644182223 1 0.1276897294224656 54.591577016498896 0.2767672208362919 45.324084682883104 5.896012484026137 10 16 1 5 2 5 0 0 456.5519900992442 1612.8581399630386 6 0 0.1685414984516081 140.01944836545948 0.3907503498303349 0.29738619968724705 0 0 0 -0.4832598632275248 0.00217463368158968
